Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;17:24:00;0.835;0.127;240.39;3.7;0.0;0.0;2.0
16/12/2006;17:25:00;0.842;0.219;236.01;3.8;0.0;1.0;12.0
16/12/2006;17:26:00;1.109;0.325;246.59;4.7;0.0;0.0;7.0
16/12/2006;17:27:00;2.14;0.094;241.04;9.3;0.0;0.0;26.0
16/12/2006;17:28:00;1.93;0.252;243.88;8.3;0.0;0.0;26.0
16/12/2006;17:29:00;2.006;0.314;240.28;8.8;0.0;1.0;15.0
16/12/2006;17:30:00;1.126;0.148;238.79;5.0;0.0;0.0;5.0
16/12/2006;17:31:00;2.111;0.282;238.5;9.3;0.0;0.0;24.0
16/12/2006;17:32:00;1.331;0.274;236.25;5.9;0.0;0.0;25.0
16/12/2006;17:33:00;0.845;0.141;239.1;3.7;0.0;0.0;17.0
16/12/2006;17:34:00;1.241;0.19;243.85;5.4;0.0;0.0;15.0
16/12/2006;17:35:00;1.168;0.357;238.99;5.1;0.0;0.0;5.0
16/12/2006;17:36:00;1.513;0.074;244.27;6.5;0.0;0.0;18.0
16/12/2006;17:37:00;1.334;0.237;243.66;5.8;0.0;0.0;26.0
16/12/2006;17:38:00;?;?;?;?;?;?;?
16/12/2006;17:39:00;1.754;0.153;239.82;7.7;0.0;0.0;19.0
16/12/2006;17:40:00;2.026;0.241;239.59;8.9;0.0;0.0;27.0
16/12/2006;17:41:00;1.218;0.261;243.91;5.3;0.0;0.0;25.0
16/12/2006;17:42:00;0.801;0.06;245.25;3.4;0.0;0.0;16.0
16/12/2006;17:43:00;1.231;0.352;242.08;5.4;0.0;0.0;11.0
16/12/2006;17:44:00;1.872;0.229;240.36;8.2;0.0;0.0;15.0
16/12/2006;17:45:00;1.392;0.241;240.53;6.1;0.0;0.0;29.0
16/12/2006;17:46:00;1.413;0.098;238.67;6.2;0.0;0.0;16.0
16/12/2006;17:47:00;1.122;0.079;239.23;4.9;0.0;0.0;16.0
16/12/2006;17:48:00;1.133;0.127;239.11;5.0;0.0;0.0;17.0
16/12/2006;17:49:00;1.462;0.335;241.33;6.4;0.0;0.0;18.0
16/12/2006;17:50:00;1.821;0.408;242.14;7.9;0.0;0.0;18.0
16/12/2006;17:51:00;2.006;0.129;237.62;8.9;0.0;0.0;15.0
16/12/2006;17:52:00;1.42;0.246;241.86;6.2;0.0;2.0;26.0
16/12/2006;17:53:00;2.097;0.121;238.59;9.3;0.0;0.0;11.0
16/12/2006;17:54:00;2.179;0.347;241.0;9.5;0.0;0.0;18.0
16/12/2006;17:55:00;2.194;0.324;242.31;9.5;0.0;0.0;21.0
16/12/2006;17:56:00;1.847;0.267;243.02;8.0;0.0;0.0;26.0
16/12/2006;17:57:00;2.145;0.128;236.83;9.5;0.0;0.0;12.0
16/12/2006;17:58:00;1.145;0.263;238.1;5.1;0.0;0.0;11.0
16/12/2006;17:59:00;2.109;0.321;241.03;9.2;0.0;0.0;16.0
16/12/2006;18:00:00;5.733;0.295;244.0;24.7;0.0;0.0;29.0
16/12/2006;18:01:00;3.417;0.443;245.62;14.6;0.0;0.0;13.0
16/12/2006;18:02:00;5.525;0.537;236.32;24.6;0.0;0.0;10.0
16/12/2006;18:03:00;3.787;0.457;241.85;16.5;0.0;0.0;21.0
16/12/2006;18:04:00;5.101;0.168;241.98;22.2;0.0;0.0;15.0
16/12/2006;18:05:00;6.393;0.127;238.52;28.2;0.0;2.0;22.0
16/12/2006;18:06:00;5.687;0.28;241.99;24.7;0.0;1.0;27.0
16/12/2006;18:07:00;4.846;0.334;241.8;21.1;0.0;0.0;27.0
16/12/2006;18:08:00;6.201;0.183;242.14;27.0;0.0;0.0;12.0
16/12/2006;18:09:00;6.302;0.385;244.96;27.1;0.0;0.0;29.0
16/12/2006;18:10:00;10.132;0.301;246.89;43.2;0.0;0.0;25.0
16/12/2006;18:11:00;5.986;0.458;245.85;25.6;0.0;0.0;14.0
16/12/2006;18:12:00;4.479;0.418;244.88;19.3;0.0;0.0;10.0
16/12/2006;18:13:00;3.912;0.473;239.97;17.2;0.0;0.0;29.0
16/12/2006;18:14:00;6.539;0.564;245.31;28.1;0.0;0.0;28.0
16/12/2006;18:15:00;2.966;0.348;239.1;13.1;0.0;0.0;17.0
16/12/2006;18:16:00;3.595;0.069;244.82;15.5;0.0;0.0;20.0
16/12/2006;18:17:00;5.69;0.25;245.08;24.4;0.0;0.0;16.0
16/12/2006;18:18:00;5.595;0.223;242.81;24.3;0.0;0.0;18.0
16/12/2006;18:19:00;3.047;0.433;237.75;13.5;0.0;0.0;16.0
16/12/2006;18:20:00;2.502;0.224;234.6;11.2;0.0;0.0;22.0
16/12/2006;18:21:00;4.401;0.276;245.44;18.9;0.0;0.0;12.0
16/12/2006;18:22:00;5.222;0.45;237.48;23.1;0.0;0.0;23.0
16/12/2006;18:23:00;5.968;0.307;241.53;26.0;0.0;0.0;22.0
16/12/2006;18:24:00;5.494;0.191;239.79;24.1;0.0;0.0;10.0
16/12/2006;18:25:00;5.811;0.281;244.42;25.0;0.0;0.0;11.0
16/12/2006;18:26:00;6.148;0.469;248.0;26.1;0.0;0.0;29.0
16/12/2006;18:27:00;6.585;0.388;240.07;28.9;0.0;0.0;20.0
16/12/2006;18:28:00;5.698;0.201;237.08;25.3;0.0;0.0;22.0
16/12/2006;18:29:00;4.742;0.195;243.12;20.5;0.0;0.0;16.0
16/12/2006;18:30:00;3.095;0.338;242.03;13.5;0.0;0.0;11.0
16/12/2006;18:31:00;4.833;0.166;234.71;21.7;0.0;0.0;23.0
16/12/2006;18:32:00;5.792;0.082;244.14;25.0;0.0;0.0;24.0
16/12/2006;18:33:00;6.6;0.455;236.63;29.4;0.0;0.0;14.0
16/12/2006;18:34:00;2.625;0.32;239.56;11.5;0.0;0.0;13.0
16/12/2006;18:35:00;3.049;0.076;237.56;13.5;0.0;2.0;13.0
16/12/2006;18:36:00;2.716;0.144;243.35;11.7;0.0;0.0;24.0
16/12/2006;18:37:00;5.734;0.198;241.35;25.0;0.0;0.0;29.0
16/12/2006;18:38:00;5.296;0.376;241.11;23.1;0.0;0.0;28.0
16/12/2006;18:39:00;2.588;0.111;238.8;11.4;0.0;0.0;23.0
16/12/2006;18:40:00;3.221;0.363;237.19;14.3;0.0;0.0;26.0
16/12/2006;18:41:00;5.745;0.399;243.91;24.8;0.0;0.0;11.0
16/12/2006;18:42:00;5.197;0.428;239.96;22.8;0.0;0.0;21.0
16/12/2006;18:43:00;6.731;0.258;238.03;29.8;0.0;0.0;16.0
16/12/2006;18:44:00;6.036;0.542;242.14;26.2;0.0;0.0;26.0
16/12/2006;18:45:00;4.373;0.488;240.07;19.2;0.0;0.0;19.0
16/12/2006;18:46:00;5.643;0.478;246.57;24.1;0.0;0.0;12.0
16/12/2006;18:47:00;3.549;0.316;240.24;15.6;0.0;0.0;13.0
16/12/2006;18:48:00;5.931;0.5;241.33;25.9;0.0;0.0;15.0
16/12/2006;18:49:00;?;?;?;?;?;?;?
16/12/2006;18:50:00;2.868;0.253;241.05;12.5;0.0;0.0;19.0
16/12/2006;18:51:00;2.9;0.332;235.9;12.9;0.0;0.0;21.0
16/12/2006;18:52:00;4.783;0.405;238.38;21.1;0.0;0.0;15.0
16/12/2006;18:53:00;3.328;0.281;245.16;14.3;0.0;0.0;14.0
16/12/2006;18:54:00;4.582;0.5;238.22;20.2;0.0;0.0;14.0
16/12/2006;18:55:00;6.607;0.22;240.4;28.9;0.0;0.0;21.0
16/12/2006;18:56:00;3.043;0.257;243.71;13.1;0.0;0.0;18.0
16/12/2006;18:57:00;2.721;0.246;237.8;12.0;0.0;0.0;18.0
16/12/2006;18:58:00;5.207;0.144;238.29;23.0;0.0;0.0;12.0
16/12/2006;18:59:00;5.107;0.178;239.75;22.4;0.0;0.0;19.0
16/12/2006;19:00:00;6.199;0.229;237.62;27.5;0.0;0.0;14.0
16/12/2006;19:01:00;5.34;0.157;237.77;23.6;1.0;0.0;21.0
16/12/2006;19:02:00;3.495;0.352;236.12;15.6;0.0;0.0;22.0
16/12/2006;19:03:00;6.515;0.352;242.19;28.3;0.0;0.0;26.0
16/12/2006;19:04:00;3.213;0.363;238.4;14.2;26.0;0.0;28.0
16/12/2006;19:05:00;4.623;0.091;239.69;20.3;0.0;0.0;15.0
16/12/2006;19:06:00;6.636;0.37;252.81;27.6;0.0;0.0;11.0
16/12/2006;19:07:00;4.523;0.472;236.96;20.1;23.0;0.0;19.0
16/12/2006;19:08:00;3.996;0.351;242.59;17.3;0.0;0.0;28.0
16/12/2006;19:09:00;4.865;0.215;238.57;21.5;37.0;0.0;20.0
16/12/2006;19:10:00;5.328;0.267;241.96;23.2;0.0;0.0;24.0
